,Province,Year,Population
135,Cần Thơ,2012,1200.9
136,Hậu Giang,2012,750.7
137,Sóc Trăng,2012,1266.4
138,Bạc Liêu,2012,872.1
139,Cà Mau,2012,1203.5
142,Hà Nội,2013,7128.4
143,Vĩnh Phúc,2013,1061.5
144,Bắc Ninh,2013,1139.9
145,Quảng Ninh,2013,1209.6
146,Hải Dương,2013,1779.7
147,Hải Phòng,2013,1932.2
148,Hưng Yên,2013,1175.5
149,Thái Bình,2013,1815.0
150,Hà Nam,2013,807.4
151,Nam Định,2013,1806.4
152,Ninh Bình,2013,930.0
154,Hà Giang,2013,779.0
155,Cao Bằng,2013,517.8
156,Bắc Kạn,2013,301.7
157,Tuyên Quang,2013,743.4
158,Lào Cai,2013,661.0
159,Yên Bái,2013,774.6
160,Thái Nguyên,2013,1156.0
161,Lạng Sơn,2013,748.9
162,Bắc Giang,2013,1630.6
163,Phú Thọ,2013,1355.2
164,Điện Biên,2013,535.0
165,Lai Châu,2013,414.6
166,Sơn La,2013,1143.9
167,Hòa Bình,2013,812.7
169,Thanh Hóa,2013,3484.8
170,Nghệ An,2013,3076.4
171,Hà Tĩnh,2013,1247.6
172,Quảng Bình,2013,865.0
173,Quảng Trị,2013,611.0
174,Thừa Thiên Huế,2013,1109.8
175,Đà Nẵng,2013,1017.3
176,Quảng Nam,2013,1451.4
177,Quảng Ngãi,2013,1223.1
178,Bình Định,2013,1487.6
179,Phú Yên,2013,865.3
180,Khánh Hòa,2013,1184.9
181,Ninh Thuận,2013,573.3
182,Bình Thuận,2013,1194.7
184,Kon Tum,2013,473.3
185,Gia Lai,2013,1383.0
186,Đắk Lắk,2013,1794.6
187,Đắk Nông,2013,548.1
188,Lâm Đồng,2013,1239.9
190,Bình Phước,2013,923.5
191,Tây Ninh,2013,1111.4
192,Bình Dương,2013,1873.5
193,Đồng Nai,2013,2771.4
194,Bà Rịa - Vũng Tàu,2013,1076.9
195,TP.Hồ Chí Minh,2013,7974.0
197,Long An,2013,1587.9
198,Tiền Giang,2013,1705.8
199,Bến Tre,2013,1269.7
200,Trà Vinh,2013,1005.6
201,Vĩnh Long,2013,1023.8
202,Đồng Tháp,2013,1639.2
203,An Giang,2013,2051.6
204,Kiên Giang,2013,1701.1
205,Cần Thơ,2013,1203.2
206,Hậu Giang,2013,747.9
207,Sóc Trăng,2013,1255.0
208,Bạc Liêu,2013,877.0
209,Cà Mau,2013,1202.1
212,Hà Nội,2014,7285.5
213,Vĩnh Phúc,2014,1076.8
214,Bắc Ninh,2014,1177.1
215,Quảng Ninh,2014,1227.7
216,Hải Dương,2014,1795.8
217,Hải Phòng,2014,1950.7
218,Hưng Yên,2014,1188.6
219,Thái Bình,2014,1822.4
220,Hà Nam,2014,815.1
221,Nam Định,2014,1801.5
222,Ninh Bình,2014,939.3
224,Hà Giang,2014,792.5
225,Cao Bằng,2014,519.9
226,Bắc Kạn,2014,302.9
227,Tuyên Quang,2014,749.6
228,Lào Cai,2014,672.6
229,Yên Bái,2014,783.5
230,Thái Nguyên,2014,1198.2
231,Lạng Sơn,2014,752.6
232,Bắc Giang,2014,1646.9
233,Phú Thọ,2014,1373.7
234,Điện Biên,2014,546.1
235,Lai Châu,2014,421.5
236,Sơn La,2014,1159.7
237,Hòa Bình,2014,819.6
239,Thanh Hóa,2014,3507.1
240,Nghệ An,2014,3116.3
241,Hà Tĩnh,2014,1255.3
242,Quảng Bình,2014,870.5
243,Quảng Trị,2014,614.4
244,Thừa Thiên Huế,2014,1111.6
245,Đà Nẵng,2014,1033.9
246,Quảng Nam,2014,1459.8
247,Quảng Ngãi,2014,1224.5
248,Bình Định,2014,1487.6
249,Phú Yên,2014,865.7
250,Khánh Hòa,2014,1192.1
251,Ninh Thuận,2014,575.4
252,Bình Thuận,2014,1197.3
254,Kon Tum,2014,484.2
255,Gia Lai,2014,1403.1
256,Đắk Lắk,2014,1805.8
257,Đắk Nông,2014,565.0
258,Lâm Đồng,2014,1251.1
260,Bình Phước,2014,934.4
261,Tây Ninh,2014,1120.7
262,Bình Dương,2014,1977.8
263,Đồng Nai,2014,2831.3
264,Bà Rịa - Vũng Tàu,2014,1093.4
265,TP.Hồ Chí Minh,2014,8135.9
267,Long An,2014,1611.7
268,Tiền Giang,2014,1716.1
269,Bến Tre,2014,1272.5
270,Trà Vinh,2014,1006.2
271,Vĩnh Long,2014,1023.7
272,Đồng Tháp,2014,1632.4
273,An Giang,2014,2024.6
274,Kiên Giang,2014,1703.4
275,Cần Thơ,2014,1205.7
276,Hậu Giang,2014,745.0
277,Sóc Trăng,2014,1245.6
278,Bạc Liêu,2014,882.2
279,Cà Mau,2014,1200.7
282,Hà Nội,2015,7433.6
283,Vĩnh Phúc,2015,1090.4
284,Bắc Ninh,2015,1218.5
285,Quảng Ninh,2015,1241.6
286,Hải Dương,2015,1812.8
287,Hải Phòng,2015,1969.5
288,Hưng Yên,2015,1202.0
289,Thái Bình,2015,1830.3
290,Hà Nam,2015,824.3
291,Nam Định,2015,1796.9
292,Ninh Bình,2015,948.5
294,Hà Giang,2015,806.7
295,Cao Bằng,2015,522.0
296,Bắc Kạn,2015,305.6
297,Tuyên Quang,2015,756.2
298,Lào Cai,2015,684.5
299,Yên Bái,2015,793.1
300,Thái Nguyên,2015,1230.8
301,Lạng Sơn,2015,757.8
302,Bắc Giang,2015,1667.0
303,Phú Thọ,2015,1392.3
304,Điện Biên,2015,557.1
305,Lai Châu,2015,427.9
306,Sơn La,2015,1177.4
307,Hòa Bình,2015,828.6
309,Thanh Hóa,2015,3537.0
310,Nghệ An,2015,3160.6
311,Hà Tĩnh,2015,1261.3
312,Quảng Bình,2015,875.6
313,Quảng Trị,2015,617.9
314,Thừa Thiên Huế,2015,1114.7
315,Đà Nẵng,2015,1056.3
316,Quảng Nam,2015,1468.2
317,Quảng Ngãi,2015,1226.2
318,Bình Định,2015,1487.6
319,Phú Yên,2015,866.2
320,Khánh Hòa,2015,1198.4
321,Ninh Thuận,2015,578.3
322,Bình Thuận,2015,1205.4
324,Kon Tum,2015,495.9
325,Gia Lai,2015,1426.4
326,Đắk Lắk,2015,1820.1
327,Đắk Nông,2015,580.5
328,Lâm Đồng,2015,1261.4
330,Bình Phước,2015,947.2
331,Tây Ninh,2015,1129.9
332,Bình Dương,2015,2069.2
333,Đồng Nai,2015,2890.0
334,Bà Rịa - Vũng Tàu,2015,1104.3
335,TP.Hồ Chí Minh,2015,8307.9
337,Long An,2015,1626.2
338,Tiền Giang,2015,1728.7
339,Bến Tre,2015,1275.8
340,Trà Vinh,2015,1006.9
341,Vĩnh Long,2015,1023.2
342,Đồng Tháp,2015,1625.6
343,An Giang,2015,2000.9
344,Kiên Giang,2015,1705.4
345,Cần Thơ,2015,1208.5
346,Hậu Giang,2015,742.4
347,Sóc Trăng,2015,1236.3
348,Bạc Liêu,2015,887.3
349,Cà Mau,2015,1199.5
352,Hà Nội,2016,7590.8
353,Vĩnh Phúc,2016,1106.1
354,Bắc Ninh,2016,1257.9
355,Quảng Ninh,2016,1261.2
356,Hải Dương,2016,1832.8
357,Hải Phòng,2016,1985.3
358,Hưng Yên,2016,1215.5
359,Thái Bình,2016,1838.1
360,Hà Nam,2016,832.2
361,Nam Định,2016,1792.5
362,Ninh Bình,2016,956.8
364,Hà Giang,2016,820.4
365,Cao Bằng,2016,524.2
366,Bắc Kạn,2016,307.7
367,Tuyên Quang,2016,763.4
368,Lào Cai,2016,696.5
369,Yên Bái,2016,800.3
370,Thái Nguyên,2016,1242.8
371,Lạng Sơn,2016,763.4
372,Bắc Giang,2016,1696.9
373,Phú Thọ,2016,1409.0
374,Điện Biên,2016,568.3
375,Lai Châu,2016,436.3
376,Sơn La,2016,1194.9
377,Hòa Bình,2016,837.0
379,Thanh Hóa,2016,3570.8
380,Nghệ An,2016,3203.1
381,Hà Tĩnh,2016,1266.7
382,Quảng Bình,2016,880.6
383,Quảng Trị,2016,621.6
384,Thừa Thiên Huế,2016,1118.0
385,Đà Nẵng,2016,1080.3
386,Quảng Nam,2016,1475.7
387,Quảng Ngãi,2016,1227.5
388,Bình Định,2016,1487.7
389,Phú Yên,2016,868.2
390,Khánh Hòa,2016,1207.2
391,Ninh Thuận,2016,581.5
392,Bình Thuận,2016,1213.6
394,Kon Tum,2016,507.8
395,Gia Lai,2016,1447.2
396,Đắk Lắk,2016,1836.4
397,Đắk Nông,2016,594.4
398,Lâm Đồng,2016,1271.3
400,Bình Phước,2016,962.7
401,Tây Ninh,2016,1139.6
402,Bình Dương,2016,2138.8
403,Đồng Nai,2016,2951.4
404,Bà Rịa - Vũng Tàu,2016,1117.6
405,TP.Hồ Chí Minh,2016,8479.1
407,Long An,2016,1645.2
408,Tiền Giang,2016,1740.1
409,Bến Tre,2016,1278.6
410,Trà Vinh,2016,1007.6
411,Vĩnh Long,2016,1022.8
412,Đồng Tháp,2016,1619.0
413,An Giang,2016,1976.4
414,Kiên Giang,2016,1708.7
415,Cần Thơ,2016,1214.6
416,Hậu Giang,2016,740.1
417,Sóc Trăng,2016,1227.6
418,Bạc Liêu,2016,892.8
419,Cà Mau,2016,1198.1
422,Hà Nội,2017,7742.2
423,Vĩnh Phúc,2017,1123.1
424,Bắc Ninh,2017,1297.8
425,Quảng Ninh,2017,1285.2
426,Hải Dương,2017,1850.6
427,Hải Phòng,2017,2001.4
428,Hưng Yên,2017,1228.8
429,Thái Bình,2017,1846.1
430,Hà Nam,2017,839.8
431,Nam Định,2017,1788.2
432,Ninh Bình,2017,965.4
434,Hà Giang,2017,833.7
435,Cao Bằng,2017,526.4
436,Bắc Kạn,2017,309.9
437,Tuyên Quang,2017,770.5
438,Lào Cai,2017,708.6
439,Yên Bái,2017,807.3
440,Thái Nguyên,2017,1256.1
441,Lạng Sơn,2017,768.7
442,Bắc Giang,2017,1736.8
443,Phú Thọ,2017,1430.5
444,Điện Biên,2017,579.4
445,Lai Châu,2017,444.5
446,Sơn La,2017,1213.4
447,Hòa Bình,2017,845.0
449,Thanh Hóa,2017,3603.7
450,Nghệ An,2017,3246.7
451,Hà Tĩnh,2017,1274.2
452,Quảng Bình,2017,885.7
453,Quảng Trị,2017,625.4
454,Thừa Thiên Huế,2017,1123.4
455,Đà Nẵng,2017,1097.8
456,Quảng Nam,2017,1483.3
457,Quảng Ngãi,2017,1228.9
458,Bình Định,2017,1487.7
459,Phú Yên,2017,870.0
460,Khánh Hòa,2017,1216.3
461,Ninh Thuận,2017,585.4
462,Bình Thuận,2017,1220.5
464,Kon Tum,2017,520.1
465,Gia Lai,2017,1468.9
466,Đắk Lắk,2017,1850.3
467,Đắk Nông,2017,604.9
468,Lâm Đồng,2017,1281.3
470,Bình Phước,2017,972.6
471,Tây Ninh,2017,1151.1
472,Bình Dương,2017,2227.2
473,Đồng Nai,2017,3004.9
474,Bà Rịa - Vũng Tàu,2017,1127.2
475,TP.Hồ Chí Minh,2017,8649.6
477,Long An,2017,1662.3
478,Tiền Giang,2017,1751.8
479,Bến Tre,2017,1282.4
480,Trà Vinh,2017,1008.1
481,Vĩnh Long,2017,1022.6
482,Đồng Tháp,2017,1612.5
483,An Giang,2017,1954.2
484,Kiên Giang,2017,1712.9
485,Cần Thơ,2017,1222.4
486,Hậu Giang,2017,737.3
487,Sóc Trăng,2017,1218.3
488,Bạc Liêu,2017,897.7
489,Cà Mau,2017,1197.0
492,Hà Nội,2018,7914.5
493,Vĩnh Phúc,2018,1138.4
494,Bắc Ninh,2018,1337.3
495,Quảng Ninh,2018,1303.9
496,Hải Dương,2018,1877.7
497,Hải Phòng,2018,2016.4
498,Hưng Yên,2018,1242.4
499,Thái Bình,2018,1854.1
500,Hà Nam,2018,847.1
501,Nam Định,2018,1784.2
502,Ninh Bình,2018,974.7
504,Hà Giang,2018,846.5
505,Cao Bằng,2018,528.7
506,Bắc Kạn,2018,312.0
507,Tuyên Quang,2018,778.3
508,Lào Cai,2018,720.8
509,Yên Bái,2018,814.6
510,Thái Nguyên,2018,1273.6
511,Lạng Sơn,2018,775.9
512,Bắc Giang,2018,1777.5
513,Phú Thọ,2018,1449.6
514,Điện Biên,2018,590.5
515,Lai Châu,2018,453.4
516,Sơn La,2018,1233.1
517,Hòa Bình,2018,850.4
519,Thanh Hóa,2018,3631.3
520,Nghệ An,2018,3291.4
521,Hà Tĩnh,2018,1280.5
522,Quảng Bình,2018,891.1
523,Quảng Trị,2018,629.7
524,Thừa Thiên Huế,2018,1125.4
525,Đà Nẵng,2018,1114.4
526,Quảng Nam,2018,1490.8
527,Quảng Ngãi,2018,1230.5
528,Bình Định,2018,1487.8
529,Phú Yên,2018,871.5
530,Khánh Hòa,2018,1224.5
531,Ninh Thuận,2018,588.9
532,Bình Thuận,2018,1227.3
534,Kon Tum,2018,532.4
535,Gia Lai,2018,1495.7
536,Đắk Lắk,2018,1861.5
537,Đắk Nông,2018,615.4
538,Lâm Đồng,2018,1291.4
540,Bình Phước,2018,984.9
541,Tây Ninh,2018,1160.7
542,Bình Dương,2018,2345.2
543,Đồng Nai,2018,3055.1
544,Bà Rịa - Vũng Tàu,2018,1138.3
545,TP.Hồ Chí Minh,2018,8843.2
547,Long An,2018,1678.9
548,Tiền Giang,2018,1759.1
549,Bến Tre,2018,1286.0
550,Trà Vinh,2018,1008.8
551,Vĩnh Long,2018,1022.7
552,Đồng Tháp,2018,1606.1
553,An Giang,2018,1931.0
554,Kiên Giang,2018,1718.1
555,Cần Thơ,2018,1227.7
556,Hậu Giang,2018,734.9
557,Sóc Trăng,2018,1208.8
558,Bạc Liêu,2018,903.0
559,Cà Mau,2018,1195.6
562,Hà Nội,2019,8093.9
563,Vĩnh Phúc,2019,1154.8
564,Bắc Ninh,2019,1378.6
565,Quảng Ninh,2019,1324.8
566,Hải Dương,2019,1896.9
567,Hải Phòng,2019,2033.3
568,Hưng Yên,2019,1255.8
569,Thái Bình,2019,1862.2
570,Hà Nam,2019,854.5
571,Nam Định,2019,1780.9
572,Ninh Bình,2019,984.5
574,Hà Giang,2019,858.1
575,Cao Bằng,2019,530.9
576,Bắc Kạn,2019,314.4
577,Tuyên Quang,2019,786.3
578,Lào Cai,2019,733.3
579,Yên Bái,2019,823.0
580,Thái Nguyên,2019,1290.9
581,Lạng Sơn,2019,782.8
582,Bắc Giang,2019,1810.4
583,Phú Thọ,2019,1466.4
584,Điện Biên,2019,601.7
585,Lai Châu,2019,462.6
586,Sơn La,2019,1252.7
587,Hòa Bình,2019,855.8
589,Thanh Hóa,2019,3645.8
590,Nghệ An,2019,3337.2
591,Hà Tĩnh,2019,1290.3
592,Quảng Bình,2019,896.6
593,Quảng Trị,2019,633.4
594,Thừa Thiên Huế,2019,1129.5
595,Đà Nẵng,2019,1141.1
596,Quảng Nam,2019,1497.5
597,Quảng Ngãi,2019,1231.9
598,Bình Định,2019,1487.8
599,Phú Yên,2019,873.2
600,Khánh Hòa,2019,1232.8
601,Ninh Thuận,2019,591.0
602,Bình Thuận,2019,1232.3
604,Kon Tum,2019,543.4
605,Gia Lai,2019,1520.2
606,Đắk Lắk,2019,1872.6
607,Đắk Nông,2019,625.8
608,Lâm Đồng,2019,1299.3
610,Bình Phước,2019,997.8
611,Tây Ninh,2019,1171.7
612,Bình Dương,2019,2456.3
613,Đồng Nai,2019,3113.7
614,Bà Rịa - Vũng Tàu,2019,1152.2
615,TP.Hồ Chí Minh,2019,9038.6
617,Long An,2019,1695.1
618,Tiền Giang,2019,1766.3
619,Bến Tre,2019,1289.1
620,Trà Vinh,2019,1009.3
621,Vĩnh Long,2019,1022.6
622,Đồng Tháp,2019,1598.8
623,An Giang,2019,1907.4
624,Kiên Giang,2019,1723.7
625,Cần Thơ,2019,1236.0
626,Hậu Giang,2019,732.2
627,Sóc Trăng,2019,1199.5
628,Bạc Liêu,2019,908.2
629,Cà Mau,2019,1194.3
632,Hà Nội,2020,8246.5
633,Vĩnh Phúc,2020,1171.2
634,Bắc Ninh,2020,1419.1
635,Quảng Ninh,2020,1337.6
636,Hải Dương,2020,1916.8
637,Hải Phòng,2020,2053.5
638,Hưng Yên,2020,1269.1
639,Thái Bình,2020,1870.2
640,Hà Nam,2020,861.8
641,Nam Định,2020,1780.3
642,Ninh Bình,2020,993.9
644,Hà Giang,2020,870.2
645,Cao Bằng,2020,533.1
646,Bắc Kạn,2020,316.5
647,Tuyên Quang,2020,792.9
648,Lào Cai,2020,746.4
649,Yên Bái,2020,831.6
650,Thái Nguyên,2020,1307.9
651,Lạng Sơn,2020,788.7
652,Bắc Giang,2020,1841.6
653,Phú Thọ,2020,1481.9
654,Điện Biên,2020,613.5
655,Lai Châu,2020,469.8
656,Sơn La,2020,1270.6
657,Hòa Bình,2020,861.2
659,Thanh Hóa,2020,3664.9
660,Nghệ An,2020,3365.2
661,Hà Tĩnh,2020,1296.6
662,Quảng Bình,2020,902.0
663,Quảng Trị,2020,637.4
664,Thừa Thiên Huế,2020,1133.6
665,Đà Nẵng,2020,1169.5
666,Quảng Nam,2020,1505.0
667,Quảng Ngãi,2020,1233.4
668,Bình Định,2020,1487.9
669,Phú Yên,2020,874.3
670,Khánh Hòa,2020,1240.4
671,Ninh Thuận,2020,593.6
672,Bình Thuận,2020,1239.3
674,Kon Tum,2020,555.6
675,Gia Lai,2020,1541.8
676,Đắk Lắk,2020,1886.9
677,Đắk Nông,2020,637.9
678,Lâm Đồng,2020,1309.8
680,Bình Phước,2020,1011.1
681,Tây Ninh,2020,1178.3
682,Bình Dương,2020,2580.6
683,Đồng Nai,2020,3177.4
684,Bà Rịa - Vũng Tàu,2020,1167.9
685,TP.Hồ Chí Minh,2020,9227.6
687,Long An,2020,1713.7
688,Tiền Giang,2020,1772.5
689,Bến Tre,2020,1292.4
690,Trà Vinh,2020,1009.9
691,Vĩnh Long,2020,1023.0
692,Đồng Tháp,2020,1600.0
693,An Giang,2020,1904.5
694,Kiên Giang,2020,1728.9
695,Cần Thơ,2020,1240.7
696,Hậu Giang,2020,729.8
697,Sóc Trăng,2020,1195.7
698,Bạc Liêu,2020,913.5
699,Cà Mau,2020,1193.9
702,Hà Nội,2021,8330.8
703,Vĩnh Phúc,2021,1191.8
704,Bắc Ninh,2021,1462.9
705,Quảng Ninh,2021,1350.9
706,Hải Dương,2021,1936.8
707,Hải Phòng,2021,2072.4
708,Hưng Yên,2021,1284.6
709,Thái Bình,2021,1875.7
710,Hà Nam,2021,875.2
711,Nam Định,2021,1836.3
712,Ninh Bình,2021,1007.6
714,Hà Giang,2021,887.1
715,Cao Bằng,2021,542.2
716,Bắc Kạn,2021,323.7
717,Tuyên Quang,2021,801.7
718,Lào Cai,2021,761.9
719,Yên Bái,2021,842.7
720,Thái Nguyên,2021,1323.2
721,Lạng Sơn,2021,796.9
722,Bắc Giang,2021,1875.2
723,Phú Thọ,2021,1507.5
724,Điện Biên,2021,625.1
725,Lai Châu,2021,478.4
726,Sơn La,2021,1287.7
727,Hòa Bình,2021,871.7
729,Thanh Hóa,2021,3716.4
730,Nghệ An,2021,3409.8
731,Hà Tĩnh,2021,1314.1
732,Quảng Bình,2021,910.7
733,Quảng Trị,2021,647.8
734,Thừa Thiên Huế,2021,1153.8
735,Đà Nẵng,2021,1195.5
736,Quảng Nam,2021,1518.5
737,Quảng Ngãi,2021,1244.1
738,Bình Định,2021,1508.3
739,Phú Yên,2021,875.5
740,Khánh Hòa,2021,1248.1
741,Ninh Thuận,2021,596.0
742,Bình Thuận,2021,1246.3
744,Kon Tum,2021,568.8
745,Gia Lai,2021,1569.7
746,Đắk Lắk,2021,1909.0
747,Đắk Nông,2021,664.4
748,Lâm Đồng,2021,1321.8
750,Bình Phước,2021,1024.3
751,Tây Ninh,2021,1181.9
752,Bình Dương,2021,2596.8
753,Đồng Nai,2021,3169.1
754,Bà Rịa - Vũng Tàu,2021,1176.1
755,TP.Hồ Chí Minh,2021,9166.8
757,Long An,2021,1725.8
758,Tiền Giang,2021,1779.4
759,Bến Tre,2021,1295.7
760,Trà Vinh,2021,1018.6
761,Vĩnh Long,2021,1029.0
762,Đồng Tháp,2021,1601.3
763,An Giang,2021,1909.5
764,Kiên Giang,2021,1752.3
765,Cần Thơ,2021,1247.0
766,Hậu Giang,2021,729.9
767,Sóc Trăng,2021,1206.8
768,Bạc Liêu,2021,918.5
769,Cà Mau,2021,1208.8
772,Hà Nội,2022,8435.7
773,Vĩnh Phúc,2022,1197.6
774,Bắc Ninh,2022,1488.2
775,Quảng Ninh,2022,1362.9
776,Hải Dương,2022,1946.8
777,Hải Phòng,2022,2088.0
778,Hưng Yên,2022,1290.9
779,Thái Bình,2022,1878.5
780,Hà Nam,2022,878.0
781,Nam Định,2022,1876.9
782,Ninh Bình,2022,1010.7
784,Hà Giang,2022,892.7
785,Cao Bằng,2022,543.1
786,Bắc Kạn,2022,324.4
787,Tuyên Quang,2022,805.8
788,Lào Cai,2022,770.6
789,Yên Bái,2022,847.2
790,Thái Nguyên,2022,1336.0
791,Lạng Sơn,2022,802.1
792,Bắc Giang,2022,1890.9
793,Phú Thọ,2022,1516.9
794,Điện Biên,2022,635.9
795,Lai Châu,2022,482.1
796,Sơn La,2022,1300.1
797,Hòa Bình,2022,875.4
799,Thanh Hóa,2022,3722.1
800,Nghệ An,2022,3420.0
801,Hà Tĩnh,2022,1323.7
802,Quảng Bình,2022,913.9
803,Quảng Trị,2022,650.9
804,Thừa Thiên Huế,2022,1160.2
805,Đà Nẵng,2022,1220.2
806,Quảng Nam,2022,1519.4
807,Quảng Ngãi,2022,1245.6
808,Bình Định,2022,1504.3
809,Phú Yên,2022,876.6
810,Khánh Hòa,2022,1254.0
811,Ninh Thuận,2022,598.7
812,Bình Thuận,2022,1252.1
814,Kon Tum,2022,579.9
815,Gia Lai,2022,1591.0
816,Đắk Lắk,2022,1918.4
817,Đắk Nông,2022,670.6
818,Lâm Đồng,2022,1332.5
820,Bình Phước,2022,1034.7
821,Tây Ninh,2022,1188.8
822,Bình Dương,2022,2763.1
823,Đồng Nai,2022,3255.8
824,Bà Rịa - Vũng Tàu,2022,1178.7
825,TP.Hồ Chí Minh,2022,9389.7
827,Long An,2022,1734.3
828,Tiền Giang,2022,1785.2
829,Bến Tre,2022,1298.0
830,Trà Vinh,2022,1019.3
831,Vĩnh Long,2022,1028.8
832,Đồng Tháp,2022,1600.2
833,An Giang,2022,1905.5
834,Kiên Giang,2022,1751.8
835,Cần Thơ,2022,1252.3
836,Hậu Giang,2022,729.5
837,Sóc Trăng,2022,1197.8
838,Bạc Liêu,2022,921.8
839,Cà Mau,2022,1207.6
842,Hà Nội,2023,8587.1
843,Vĩnh Phúc,2023,1211.3
844,Bắc Ninh,2023,1517.4
845,Quảng Ninh,2023,1381.2
846,Hải Dương,2023,1956.9
847,Hải Phòng,2023,2105.0
848,Hưng Yên,2023,1301.0
849,Thái Bình,2023,1882.3
850,Hà Nam,2023,885.9
851,Nam Định,2023,1887.1
852,Ninh Bình,2023,1017.1
854,Hà Giang,2023,899.9
855,Cao Bằng,2023,547.9
856,Bắc Kạn,2023,326.5
857,Tuyên Quang,2023,812.2
858,Lào Cai,2023,779.9
859,Yên Bái,2023,855.5
860,Thái Nguyên,2023,1350.3
861,Lạng Sơn,2023,807.3
862,Bắc Giang,2023,1922.7
863,Phú Thọ,2023,1530.8
864,Điện Biên,2023,646.2
865,Lai Châu,2023,489.3
866,Sơn La,2023,1313.3
867,Hòa Bình,2023,880.5
869,Thanh Hóa,2023,3739.5
870,Nghệ An,2023,3442.0
